 30 10
  7  15  22  26  28  38  41  49  50  59 
 10  25  33  37  43  45  53  55  58  62 
 19  34  44  46  53  57  63  73  80  84 
 23  35  45  53  55  58  64  74  90  92 
 25  37  55  64  73  77  81  91 100 106 
 28  38  55  70  75  78  90  98 103 114 
 33  43  65  71  85  91  95 102 109 121 
 38  47  71  80  94 104 108 116 119 122 
 47  54  77  90  95 113 122 126 131 137 
 57  66  80  97 100 122 128 136 140 146 
 65  70  81 104 113 130 139 145 154 158 
 72  79  91 110 114 136 147 155 159 169 
 73  84 101 116 126 146 156 164 174 175 
 83  88 104 119 129 150 162 173 183 190 
 89  98 111 125 135 154 164 174 191 201 
 93 103 116 128 138 157 166 178 201 203 
 97 108 124 133 144 162 167 180 209 210 
102 109 130 142 149 164 170 183 212 214 
108 111 131 146 156 166 175 189 213 221 
113 117 141 151 163 173 178 194 217 228 
114 124 145 154 166 181 183 200 227 235 
123 126 148 155 176 189 190 205 231 237 
130 132 157 163 184 199 206 211 236 239 
136 137 158 168 192 204 213 218 237 242 
143 153 163 172 193 205 218 228 239 244 
146 163 167 180 203 207 227 234 242 253 
156 169 173 182 207 216 236 237 249 256 
157 178 183 190 216 226 245 252 259 261 
164 179 184 200 223 227 251 253 260 264 
168 183 190 205 232 233 256 259 263 271 
